Timestamp,,  1. What is your age?  ,2. What is your gender? Male Female Prefer not to say,  3. What is your current occupation?  ,  4. What is your highest educational qualification?  ,  5. Which AI tool do you use most frequently?  ,  6. How often do you use AI tools?  ,"7. On average, how much time do you spend using AI tools each day? ",8. For which of the following purposes do you use AI? (Select all that apply) ,"9. When you are given a new task, how often do you consult AI before attempting it yourself? ","  10. If AI tools were unavailable for a week, how confident would you feel completing your regular tasks?  ","  11. When you receive an answer from AI, how often do you check whether the information is correct?  ",12. How often do you try to solve a problem yourself before asking AI for help? Never,"  13. When AI provides a solution, how often do you try to understand how that solution was reached?  ",14. How often do you compare AI-generated information with other sources before using it? ,15. How often do you use AI to complete a task that you could have completed without AI? ,"  16. When facing a difficult problem, what is usually your first approach?  ","  17. Since you started using AI tools, how has the amount of time you spend researching information changed?  ","  18. Since you started using AI tools, how has the amount of independent thinking you do changed?  ",  19. How often do you accept AI-generated answers without questioning them?  ,"  20. When AI gives an answer that differs from your own understanding, what do you usually do?  ",  21. To what extent has AI improved your productivity?  ,  22. To what extent has AI improved your learning or understanding of new topics?  ,23. How often do you depend on AI for tasks that previously required your own research or analysis? ,"24. In your opinion, does frequent AI use affect a person's independent thinking ability? ","25. Overall, how would you describe AI's impact on your daily decision-making and problem-solving? ",  1. What is your age?  
05-06-2026 15:15,,18–20 years,Female,Working Professional,Undergraduate,ChatGPT,Sometimes,15–30 minutes,Studying and Learning,Sometimes,Slightly confident,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Search online,No change,No change,Sometimes,Usually trust AI,Slightly,Moderately,Sometimes,No Effect,Negative,
05-06-2026 15:16,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Often,Less than 15 minutes,Studying and Learning,Rarely,Very confident,Often,Often,Sometimes,Often,Rarely,"Ask a teacher, colleague, or friend",No change,No change,"Rarely, Sometimes",Trust my own understanding completely,Moderately,Moderately,Sometimes,No Effect,"Neutral, Positive",
05-06-2026 15:18,,18–20 years,Female,Student,Undergraduate,ChatGPT,Rarely,15–30 minutes,Writing and Communication,Rarely,Slightly confident,Rarely,Rarely,Rarely,Rarely,Rarely,Search online,Increased slightly,Increased slightly,Rarely,Usually trust AI,Slightly,Slightly,Rarely,No Effect,"Negative, Neutral",
05-06-2026 15:56,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,"Studying and Learning, Research",Rarely,Moderately confident,Sometimes,Often,Always,Rarely,Sometimes,Ask AI,Increased slightly,No change,Often,Compare both viewpoints,Slightly,Slightly,Sometimes,Somewhat Positive Effect,"Neutral, Positive, Very Positive",
05-06-2026 16:00,,Above 30 years,Female,Student and Working Professional,Other,"ChatGPT, Gemini, Other",Sometimes,Less than 15 minutes,Work-related Tasks,Sometimes,Very confident,Sometimes,Often,Often,Sometimes,Sometimes,Search online,Increased slightly,No change,Sometimes,Compare both viewpoints,Moderately,Moderately,Sometimes,No Effect,Neutral,
05-06-2026 16:14,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Research",Often,Moderately confident,Sometimes,Always,Sometimes,Always,Rarely,Use a combination of methods,Increased slightly,Increased slightly,Rarely,Compare both viewpoints,Significantly,Significantly,Sometimes,Somewhat Positive Effect,Neutral,
05-06-2026 16:17,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research",Rarely,Moderately confident,Always,Always,Always,Always,Rarely,"Ask a teacher, colleague, or friend",Decreased slightly,Decreased slightly,Sometimes,Compare both viewpoints,Slightly,Moderately,Rarely,Somewhat Negative Effect,Neutral,
05-06-2026 16:23,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Microsoft Copilot, Other",Often,15–30 minutes,"Studying and Learning, Research",Sometimes,Moderately confident,Rarely,Rarely,Always,Rarely,Sometimes,"Search online, Use a combination of methods",Decreased slightly,Decreased slightly,Often,Compare both viewpoints,Significantly,Significantly,Often,Somewhat Negative Effect,Neutral,
05-06-2026 16:25,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini",Very Often,More than 2 hours,"Studying and Learning, Work-related Tasks, Research, Other",Sometimes,Very confident,Always,Sometimes,Always,Sometimes,Sometimes,"Solve it independently, Ask a teacher, colleague, or friend, Use a combination of methods",Increased significantly,Increased slightly,Sometimes,"Compare both viewpoints, Usually trust my own understanding",Moderately,Slightly,Always,Somewhat Negative Effect,Positive,
05-06-2026 16:28,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Often,30–60 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research",Often,Slightly confident,Sometimes,Sometimes,Often,Sometimes,Sometimes,"Solve it independently, Ask a teacher, colleague, or friend",Increased slightly,Increased slightly,Sometimes,Compare both viewpoints,Slightly,Slightly,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 16:30,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,15–30 minutes,"Studying and Learning, Research",Sometimes,"Moderately confident, Very confident",Sometimes,"Sometimes, Often",Rarely,Sometimes,Never,Use a combination of methods,Decreased slightly,Decreased slightly,Rarely,Compare both viewpoints,Moderately,Moderately,Sometimes,No Effect,Positive,
05-06-2026 16:31,,18–20 years,Female,Student,"Higher Secondary, Undergraduate","ChatGPT, Gemini",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming",Sometimes,Moderately confident,Sometimes,"Sometimes, Often","Sometimes, Often",Often,Sometimes,Use a combination of methods,Increased significantly,Decreased slightly,Rarely,Compare both viewpoints,Significantly,Significantly,Sometimes,Somewhat Negative Effect,Positive,
05-06-2026 16:33,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,Less than 15 minutes,"Studying and Learning, Work-related Tasks, Research, Other",Sometimes,Moderately confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Solve it independently, Ask AI, Use a combination of methods",Increased slightly,Increased slightly,Sometimes,Compare both viewpoints,Moderately,Significantly,Sometimes,No Effect,Positive,
05-06-2026 16:39,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,More than 2 hours,"Studying and Learning, Writing and Communication, Coding and Programming",Always,Moderately confident,Always,Often,Always,Always,Rarely,"Ask AI, Ask a teacher, colleague, or friend",Increased slightly,No change,Rarely,Usually trust my own understanding,Moderately,Significantly,Sometimes,Somewhat Positive Effect,Very Positive,
05-06-2026 17:05,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,"Less than 15 minutes, 15–30 minutes","Studying and Learning, Entertainment",Sometimes,Moderately confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Ask AI, Use a combination of methods",Increased slightly,Decreased slightly,Sometimes,Compare both viewpoints,Slightly,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 17:08,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,15–30 minutes,Studying and Learning,Sometimes,Moderately confident,Sometimes,Often,Sometimes,Often,Sometimes,Solve it independently,Increased slightly,Decreased slightly,Sometimes,Compare both viewpoints,Significantly,Significantly,Sometimes,No Effect,Positive,
05-06-2026 17:43,,18–20 years,Female,Student,"Higher Secondary, Undergraduate","ChatGPT, Gemini","Sometimes, Often",15–30 minutes,Studying and Learning,"Rarely, Sometimes","Not confident at all, Very confident","Never, Sometimes, Always","Sometimes, Often","Sometimes, Often, Always","Sometimes, Often","Sometimes, Often","Search online, Ask AI, Ask a teacher, colleague, or friend","Decreased slightly, Decreased significantly","Decreased slightly, Decreased significantly","Sometimes, Often","Trust AI immediately, Usually trust my own understanding","Significantly, Extremely","Moderately, Significantly","Sometimes, Often",No Effect,"Neutral, Positive",
05-06-2026 17:51,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,Less than 15 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment, Other",Sometimes,Very confident,Never,Never,Rarely,Rarely,Often,Use a combination of methods,No change,Increased slightly,Rarely,Usually trust AI,Slightly,Moderately,Sometimes,Somewhat Positive Effect,Positive,
05-06-2026 18:10,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini, Microsoft Copilot",Sometimes,15–30 minutes,Studying and Learning,Sometimes,Moderately confident,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Solve it independently,Increased slightly,"Increased slightly, No change",Sometimes,Usually trust my own understanding,Not at all,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 18:23,,21–25 years,Female,Other,Undergraduate,ChatGPT,Often,30–60 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks",Sometimes,Very confident,Sometimes,Sometimes,Often,Sometimes,Never,Solve it independently,Increased slightly,Increased significantly,Often,Compare both viewpoints,Significantly,Significantly,Sometimes,"No Effect, Somewhat Positive Effect",Positive,
05-06-2026 19:02,,18–20 years,Female,Student,"Higher Secondary, Undergraduate","ChatGPT, Gemini, Microsoft Copilot, Claude",Rarely,Less than 15 minutes,"Studying and Learning, Work-related Tasks, Coding and Programming, Entertainment",Always,Extremely confident,Always,Always,Sometimes,Sometimes,Never,Solve it independently,Decreased slightly,Increased slightly,Never,Compare both viewpoints,Slightly,Moderately,Sometimes,Strongly Negative Effect,Neutral,
05-06-2026 19:14,,18–20 years,Female,Student,Undergraduate,Gemini,Sometimes,15–30 minutes,Studying and Learning,Sometimes,Moderately confident,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Ask AI,Increased slightly,Increased slightly,Sometimes,Usually trust AI,Slightly,Moderately,Sometimes,Somewhat Positive Effect,Neutral,
05-06-2026 19:21,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment, Other",Sometimes,Moderately confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Ask AI,Increased slightly,Increased slightly,Sometimes,Compare both viewpoints,Slightly,Moderately,Sometimes,No Effect,Neutral,
05-06-2026 19:21,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,30–60 minutes,"Studying and Learning, Writing and Communication",Sometimes,Slightly confident,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Search online,Increased slightly,Increased significantly,Sometimes,Compare both viewpoints,Not at all,Slightly,Sometimes,Strongly Negative Effect,Positive,
05-06-2026 19:25,,18–20 years,Female,Student,"Higher Secondary, Undergraduate",ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Never,Not confident at all,Rarely,Sometimes,"Sometimes, Always",Always,Sometimes,Ask AI,No change,No change,Always,"Usually trust AI, Usually trust my own understanding","Not at all, Moderately",Moderately,Sometimes,No Effect,Neutral,
05-06-2026 19:29,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,15–30 minutes,"Studying and Learning, Work-related Tasks",Sometimes,Slightly confident,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Ask AI,Increased slightly,Increased slightly,Sometimes,Usually trust AI,Slightly,Slightly,Sometimes,Somewhat Negative Effect,Positive,
05-06-2026 19:40,,18–20 years,"Female, Prefer not to say",Student,Undergraduate,ChatGPT,Often,15–30 minutes,"Studying and Learning, Writing and Communication",Sometimes,Moderately confident,Never,Often,Never,Never,Sometimes,Ask AI,"No change, Decreased slightly","No change, Decreased significantly",Sometimes,"Usually trust AI, Trust my own understanding completely",Moderately,"Not at all, Moderately","Never, Always",Somewhat Negative Effect,"Neutral, Positive",
05-06-2026 19:40,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Sometimes,Not confident at all,Sometimes,Never,Sometimes,Often,Never,Solve it independently,Increased slightly,Increased slightly,Rarely,Usually trust my own understanding,Significantly,Significantly,Sometimes,No Effect,Neutral,
05-06-2026 19:43,,18–20 years,Female,Student,Undergraduate,ChatGPT,Rarely,15–30 minutes,"Studying and Learning, Writing and Communication",Sometimes,Moderately confident,Always,Sometimes,Sometimes,Sometimes,Rarely,Ask AI,"Increased slightly, No change",No change,Sometimes,Compare both viewpoints,Significantly,Significantly,Rarely,No Effect,Neutral,
05-06-2026 20:01,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,30–60 minutes,Studying and Learning,Sometimes,Extremely confident,Often,Always,Often,Sometimes,Often,Solve it independently,No change,No change,Sometimes,Usually trust my own understanding,Moderately,Moderately,Sometimes,Somewhat Positive Effect,Very Positive,
05-06-2026 20:26,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,30–60 minutes,Studying and Learning,Never,Moderately confident,Never,Always,Often,Often,Often,"Ask AI, Ask a teacher, colleague, or friend",Increased slightly,No change,Sometimes,"Trust AI immediately, Usually trust AI, Compare both viewpoints",Moderately,Moderately,Sometimes,Somewhat Negative Effect,Negative,
05-06-2026 21:10,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Very Often,More than 2 hours,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming","Sometimes, Often",Slightly confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Ask AI,Increased slightly,"Increased slightly, No change",Sometimes,Compare both viewpoints,"Moderately, Significantly",Significantly,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 23:40,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Very Often,30–60 minutes,"Studying and Learning, Writing and Communication, Research",Sometimes,Moderately confident,Always,Often,Often,Often,Often,Search online,Increased slightly,Increased significantly,Sometimes,Trust my own understanding completely,Moderately,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
06-06-2026 11:35,,18–20 years,Female,Student,Undergraduate,Gemini,Rarely,Less than 15 minutes,Other,Always,Extremely confident,Always,Always,Sometimes,Always,Sometimes,Search online,Increased slightly,No change,Sometimes,Usually trust my own understanding,Significantly,Significantly,Sometimes,Somewhat Positive Effect,Positive,
07-06-2026 20:52,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Sometimes,Less than 15 minutes,"Studying and Learning, Writing and Communication",Sometimes,Very confident,Sometimes,Always,Sometimes,Sometimes,Sometimes,"Solve it independently, Ask a teacher, colleague, or friend",Increased slightly,Increased slightly,Sometimes,"Compare both viewpoints, Usually trust my own understanding","Moderately, Extremely",Moderately,Sometimes,"Somewhat Negative Effect, Somewhat Positive Effect","Neutral, Positive",
08-06-2026 21:07,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,"15–30 minutes, 30–60 minutes",Work-related Tasks,Never,Extremely confident,Always,Always,Never,Never,Never,Use a combination of methods,No change,Decreased slightly,Often,Compare both viewpoints,Extremely,Slightly,Sometimes,Somewhat Positive Effect,Positive,
09-06-2026 11:52,,18–20 years,Male,Student,Undergraduate,ChatGPT,Rarely,Less than 15 minutes,Studying and Learning,Never,Extremely confident,Sometimes,Never,Never,Sometimes,Often,"Ask a teacher, colleague, or friend",Decreased slightly,No change,Sometimes,Usually trust my own understanding,Not at all,Not at all,Rarely,Somewhat Positive Effect,Negative,
16-06-2026 17:10,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication",Sometimes,Moderately confident,Always,"Rarely, Sometimes","Rarely, Sometimes","Rarely, Sometimes","Never, Rarely","Solve it independently, Search online, Ask AI, Ask a teacher, colleague, or friend","Increased significantly, Increased slightly","Increased significantly, Increased slightly, No change","Rarely, Sometimes, Often","Compare both viewpoints, Usually trust my own understanding","Moderately, Significantly","Significantly, Extremely","Never, Sometimes","Strongly Negative Effect, Somewhat Negative Effect","Negative, Neutral, Positive",
16-06-2026 17:36,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,15–30 minutes,"Studying and Learning, Writing and Communication","Rarely, Sometimes",Not confident at all,Often,Sometimes,Often,Always,Always,Search online,Increased significantly,Increased significantly,Often,Compare both viewpoints,Not at all,"Moderately, Significantly",Sometimes,Somewhat Positive Effect,Neutral,
16-06-2026 21:51,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,15–30 minutes,Studying and Learning,Sometimes,Slightly confident,Sometimes,Sometimes,Often,Sometimes,Rarely,"Ask AI, Ask a teacher, colleague, or friend",Decreased slightly,Increased slightly,Rarely,Compare both viewpoints,Slightly,Significantly,Never,No Effect,Negative,
17-06-2026 18:56,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,1–2 hours,"Studying and Learning, Coding and Programming",Sometimes,Slightly confident,Never,Sometimes,Often,Rarely,Often,Search online,Decreased significantly,Decreased significantly,Sometimes,Compare both viewpoints,Significantly,Significantly,Often,Strongly Negative Effect,Positive,
17-06-2026 18:58,,21–25 years,Female,Working Professional,Postgraduate,"ChatGPT, Gemini, Claude",Often,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Research",Sometimes,Moderately confident,Sometimes,Rarely,Sometimes,Never,Rarely,"Ask AI, Ask a teacher, colleague, or friend",No change,Decreased significantly,Sometimes,Compare both viewpoints,Significantly,Extremely,Often,Strongly Negative Effect,Positive,
17-06-2026 18:59,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini",Very Often,15–30 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Research",Often,Not confident at all,Sometimes,Rarely,Sometimes,Rarely,Sometimes,"Solve it independently, Search online, Ask AI, Ask a teacher, colleague, or friend",Decreased slightly,Decreased significantly,Often,Compare both viewpoints,Not at all,Significantly,Often,Strongly Negative Effect,Neutral,
17-06-2026 22:02,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Often,Less than 15 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Research",Never,Not confident at all,Sometimes,Never,Rarely,Sometimes,Rarely,Search online,Increased slightly,Increased slightly,Always,Trust AI immediately,Significantly,Significantly,Rarely,No Effect,Neutral,
17-06-2026 22:03,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,30–60 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research, Entertainment",Sometimes,Moderately confident,Always,Sometimes,Sometimes,Always,Often,Ask AI,Increased slightly,Increased slightly,Never,Trust my own understanding completely,Not at all,Significantly,Sometimes,Strongly Negative Effect,Negative,
18-06-2026 07:12,,18–20 years,Female,Working Professional,Higher Secondary,ChatGPT,"Never, Sometimes",Less than 15 minutes,Studying and Learning,Sometimes,"Not confident at all, Slightly confident, Moderately confident, Very confident, Extremely confident",Sometimes,Often,Sometimes,Rarely,Never,Search online,No change,No change,Never,Usually trust AI,Not at all,Not at all,Sometimes,Somewhat Negative Effect,Very Negative,
18-06-2026 07:52,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,30–60 minutes,Studying and Learning,Sometimes,Slightly confident,Always,Sometimes,Often,Rarely,Rarely,Search online,No change,No change,Always,Usually trust AI,Slightly,Slightly,Always,Strongly Negative Effect,Positive,
18-06-2026 16:28,,18–20 years,Female,Student,Higher Secondary,ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Sometimes,Moderately confident,Sometimes,Sometimes,Sometimes,Sometimes,Often,Search online,Increased significantly,Increased slightly,Sometimes,Usually trust my own understanding,Moderately,Moderately,Sometimes,No Effect,Neutral,
18-06-2026 16:35,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini",Very Often,"1–2 hours, More than 2 hours","Studying and Learning, Writing and Communication, Research, Other",Rarely,Very confident,Always,Sometimes,Sometimes,Always,Sometimes,"Solve it independently, Search online, Ask AI, Ask a teacher, colleague, or friend, Use a combination of methods",Decreased slightly,Decreased significantly,Rarely,"Compare both viewpoints, Trust my own understanding completely",Extremely,Extremely,Rarely,Somewhat Negative Effect,Positive,
18-06-2026 17:00,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini",Often,Less than 15 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks",Sometimes,Moderately confident,Always,Sometimes,Often,Often,Sometimes,"Search online, Ask AI",Increased slightly,Decreased slightly,Never,"Compare both viewpoints, Usually trust my own understanding",Slightly,Moderately,Sometimes,Somewhat Positive Effect,Neutral,
18-06-2026 17:06,,18–20 years,Male,Student,Higher Secondary,Claude,Very Often,More than 2 hours,Coding and Programming,Sometimes,Moderately confident,Sometimes,Rarely,"Often, Always",Sometimes,"Rarely, Sometimes",Use a combination of methods,Increased significantly,Increased slightly,Often,Compare both viewpoints,Extremely,Extremely,Often,"Strongly Negative Effect, Strongly Positive Effect","Positive, Very Positive",
18-06-2026 20:18,,18–20 years,Female,Student,Undergraduate,ChatGPT,Often,15–30 minutes,Studying and Learning,Sometimes,Slightly confident,Never,Often,Never,Never,Sometimes,Search online,Increased significantly,Increased slightly,Often,Compare both viewpoints,Slightly,Significantly,Rarely,Strongly Negative Effect,Neutral,
18-06-2026 20:27,,18–20 years,Female,Working Professional,Higher Secondary,"ChatGPT, Claude",Very Often,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Coding and Programming, Research",Often,Not confident at all,Rarely,Rarely,Always,Never,Rarely,"Solve it independently, Search online, Ask AI",Increased slightly,Increased significantly,Often,Compare both viewpoints,Moderately,Extremely,Often,Strongly Negative Effect,Neutral,
18-06-2026 20:46,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Claude",Often,1–2 hours,Studying and Learning,Sometimes,Very confident,Always,Often,Sometimes,Often,Rarely,Ask AI,Increased slightly,No change,Always,Compare both viewpoints,Significantly,Significantly,Sometimes,"No Effect, Somewhat Positive Effect",Positive,
18-06-2026 22:04,,21–25 years,Female,Other,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,Entertainment,Sometimes,Very confident,Never,Often,Always,Never,Never,Use a combination of methods,No change,No change,Always,Compare both viewpoints,Moderately,Moderately,Sometimes,Somewhat Positive Effect,Neutral,
19-06-2026 02:20,,21–25 years,Female,Other,Undergraduate,ChatGPT,Often,Less than 15 minutes,"Studying and Learning, Writing and Communication, Coding and Programming, Entertainment",Sometimes,Moderately confident,Never,Rarely,Rarely,Never,Sometimes,Search online,No change,Decreased slightly,Often,Usually trust my own understanding,Slightly,Slightly,Often,Somewhat Negative Effect,Neutral,
19-06-2026 10:42,,18–20 years,Female,Student,Higher Secondary,I do not use AI tools,Rarely,Less than 15 minutes,"Studying and Learning, Coding and Programming",Never,Very confident,Often,Often,Rarely,Rarely,Never,"Solve it independently, Search online, Use a combination of methods",Increased slightly,Decreased slightly,Rarely,"Compare both viewpoints, Usually trust my own understanding",Not at all,Moderately,Rarely,Strongly Negative Effect,Very Negative,
